Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada
2279;14072020;5;12;14;20;27;28;1;432,349,261.00;120;1,914,729.00;6212;52839;1,576,871,074.00;39,851,784.00;20,000,000.00;4,813,190,337.00
2280;16072020;28;29;31;50;58;59;0;0;20;9,894,499.00;1639;172,483.00;1,941,405,244.00;343,228,275.00;24,000,000.00;4,865,266,649.00
2281;18072020;14;27;35;40;50;55;0;0;43;5,298,908.00;2462;132,211.00;2,361,134,548.00;395,197,425.00;29,000,000.00;4,925,227,979.00
2282;22072020;12;27;30;36;45;52;1;2,845,666,508.00;44;5,977,992.00;3467;108,381.00;0;456,212,565.00;2,500,000.00;4,994,446,831.00
2283;25072020;4;24;37;43;59;60;0;0;41;3,942,916.00;2615;88314;297,793,924.00;28,038,879.00;6,600,000.00;5,036,988,822.00
2284;29072020;4;10;12;14;36;46;0;0;43;3,958,748.00;3278;74185;1,793,185,756.00;29,524,707.00;23,000,000.00;5,081,785,184.00
2285;1082020;1;7;10;12;33;42;2;1,132,334,369.00;160;1,599,675.00;7967;45894;0;44,392,626.00;3,000,000.00;5,149,139,897.00
2286;5082020;9;21;30;41;42;43;0;0;28;5,632,166.00;1649;13,662.00;290,501,181.00;273,522,285.00;6,500,000.00;5,190,640,068.00
2287;8082020;2;4;6;29;41;56;0;0;45;4,577,506.00;3261;90238;669,952,284.00;35,727,336.00;11,000,000.00;524,484,737.00
2288;11082020;2;26;35;39;40;56;0;0;16;814,842.00;1545;120,549.00;91,011,624.00;226,127,115.00;12,500,000.00;5,279,156,507.00
2289;13082020;6;9;34;37;38;45;0;0;33;5,394,807.00;2808;90572;2,312,635,855.00;30,877,992.00;27,000,000.00;5,326,006,141.00
2290;15082020;5;18;36;44;57;60;0;0;96;2,502,589.00;4532;7573;2,755,198,923.00;416,696,625.00;33,000,000.00;5,389,229,437.00
2291;19082020;12;26;31;36;37;49;0;0;37;7,908,435.00;3269;127,873.00;3,294,221,209.00;50,751,810.00;40,000,000.00;5,466,232,623.00
2292;22082020;6;16;18;33;42;57;0;0;94;363,134.00;5865;83143;3,923,016,419.00;592,044,075.00;47,000,000.00;5,556,060,511.00
2293;26082020;1;2;10;37;42;48;0;0;69;5,120,689.00;5498;91806;4,573,882,897.00;612,825,345.00;52,000,000.00;5,649,041,438.00
2294;29082020;9;15;20;33;41;43;0;0;49;8,556,749.00;5779;103,646.00;7,253,080,223.00;727,217,145.00;82,000,000.00;575,937,846.00
2295;2092020;6;13;26;28;35;41;0;0;162;3,302,553.00;9693;78851;8,238,631,518.00;92,794,887.00;95,000,000.00;5,900,171,504.00
2296;5092020;1;6;21;29;36;59;2;4,716,044,698.00;166;3,902,874.00;8642;107,097.00;0;1,123,703,955.00;2,500,000.00;6,070,665,487.00
